epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.7303,1.3311,2.83091,1.1326,0.97665,0.03764,0.20621,0.13677,1.22722,3.07851,1.05502,0.00326241,0.00326241,0.00326241
2,36.3092,1.11951,1.30645,1.00871,0.91098,0.26279,0.50782,0.31511,1.29902,2.2407,1.15095,0.00658921,0.00658921,0.00658921
3,55.3474,1.13964,1.09957,1.00788,0.77062,0.545,0.58817,0.33367,1.44923,1.41268,1.30136,0.00990942,0.00990942,0.00990942
4,70.5469,1.136,0.93793,1.01457,0.56464,0.39092,0.37986,0.19343,1.82991,1.76626,1.60986,0.0099703,0.0099703,0.0099703
5,89.2497,1.11218,0.81943,1.00746,0.78683,0.47966,0.54132,0.33323,1.49106,1.56571,1.3595,0.0099604,0.0099604,0.0099604
6,104.11,1.07691,0.77099,0.99899,0.81038,0.64469,0.69581,0.43821,1.18681,1.20956,1.10432,0.0099505,0.0099505,0.0099505
7,122.79,1.06345,0.7233,0.99299,0.81427,0.65396,0.70453,0.45336,1.15355,1.07955,1.08421,0.0099406,0.0099406,0.0099406
8,137.868,1.03105,0.69802,0.98879,0.80489,0.64224,0.67422,0.41188,1.21852,1.34215,1.13899,0.0099307,0.0099307,0.0099307
9,152.918,1.01414,0.66312,0.979,0.82113,0.6746,0.71951,0.46782,1.13435,0.84119,1.09938,0.0099208,0.0099208,0.0099208
10,171.378,1.00983,0.66093,0.97764,0.78771,0.68962,0.71901,0.47776,1.07678,0.7979,1.03996,0.0099109,0.0099109,0.0099109
11,186.408,1.00204,0.64529,0.97337,0.7887,0.66976,0.71056,0.43814,1.21341,0.84236,1.15442,0.009901,0.009901,0.009901
12,204.42,0.98466,0.62923,0.96883,0.81504,0.67387,0.72385,0.46771,1.12399,0.93455,1.08772,0.0098911,0.0098911,0.0098911
13,219.172,0.96523,0.61658,0.9706,0.82924,0.68397,0.73637,0.48381,1.07232,0.79961,1.04393,0.0098812,0.0098812,0.0098812
14,237.446,0.98242,0.61756,0.97349,0.81188,0.66355,0.71869,0.47115,1.10403,0.84917,1.0727,0.0098713,0.0098713,0.0098713
15,251.786,0.97444,0.6118,0.96621,0.83144,0.63051,0.69773,0.39072,1.3209,0.91772,1.24616,0.0098614,0.0098614,0.0098614
16,270.263,0.9625,0.60415,0.96231,0.79945,0.65055,0.70479,0.44068,1.22295,0.95362,1.11729,0.0098515,0.0098515,0.0098515
17,285.001,0.93408,0.58749,0.95154,0.85165,0.69537,0.75434,0.50834,1.03038,0.77027,1.02369,0.0098416,0.0098416,0.0098416
18,303.195,0.96465,0.60325,0.96382,0.83011,0.69351,0.74484,0.495,1.06538,0.72215,1.05583,0.0098317,0.0098317,0.0098317
19,318.076,0.94708,0.58513,0.95355,0.83274,0.69719,0.75672,0.50873,1.04565,0.76469,1.05242,0.0098218,0.0098218,0.0098218
20,336.339,0.91999,0.56717,0.95671,0.80791,0.69489,0.74683,0.50542,1.02304,0.75002,1.03128,0.0098119,0.0098119,0.0098119
21,350.819,0.92859,0.57593,0.95344,0.8185,0.70519,0.75288,0.50344,1.04182,0.78286,1.04096,0.009802,0.009802,0.009802
22,365.383,0.93966,0.57412,0.95014,0.81843,0.68568,0.73787,0.48863,1.07752,0.78646,1.07663,0.0097921,0.0097921,0.0097921
23,383.738,0.92083,0.56603,0.94966,0.82351,0.69408,0.7553,0.50591,1.03804,0.77418,1.04753,0.0097822,0.0097822,0.0097822
24,398.281,0.9155,0.56194,0.94467,0.81371,0.69916,0.74792,0.50823,1.02673,0.76242,1.02529,0.0097723,0.0097723,0.0097723
25,416.993,0.91757,0.55978,0.94731,0.8487,0.69922,0.76095,0.51982,0.95736,0.74454,0.98851,0.0097624,0.0097624,0.0097624
26,431.938,0.91261,0.54741,0.94413,0.84132,0.71543,0.77788,0.53915,0.98607,0.68225,1.02212,0.0097525,0.0097525,0.0097525
27,450.564,0.90671,0.55068,0.94377,0.82124,0.67024,0.72032,0.45511,1.16417,1.13192,1.13891,0.0097426,0.0097426,0.0097426
28,465.36,0.91626,0.55771,0.94405,0.85152,0.68548,0.75736,0.50646,1.06541,0.72507,1.06602,0.0097327,0.0097327,0.0097327
29,483.475,0.90054,0.54632,0.94727,0.83613,0.72883,0.78059,0.53383,0.96186,0.67725,1.00714,0.0097228,0.0097228,0.0097228
30,498.056,0.89918,0.53785,0.93961,0.8263,0.71875,0.7696,0.52811,0.98463,0.70861,1.0114,0.0097129,0.0097129,0.0097129
31,516.068,0.89467,0.54214,0.94596,0.83463,0.68462,0.75127,0.50261,1.04841,0.69475,1.05987,0.009703,0.009703,0.009703
32,530.498,0.88933,0.53976,0.94589,0.81531,0.7161,0.76873,0.54075,0.96177,0.65491,1.00643,0.0096931,0.0096931,0.0096931
33,544.992,0.88346,0.54147,0.94132,0.84286,0.6979,0.76216,0.52399,1.0496,0.79256,1.03684,0.0096832,0.0096832,0.0096832
